polica_sifra,polica_naziv,tip
B2,Proizvodnja,SHELF
B2,Magacin,SHELF
B2,Proizvodnja,SHELF
B2,Magacin,SHELF
B20,Proizvodnja,SHELF
B20,Magacin,SHELF
B20,Magacin,SHELF
B21,Magacin,SHELF
B21,Magacin,SHELF
B21,Proizvodnja,SHELF
B22,Magacin,SHELF
B22,Magacin,SHELF
B22,Proizvodnja,SHELF
B23,Proizvodnja,SHELF
B23,Magacin,SHELF
B23,Magacin,SHELF
B24,Magacin,SHELF
B24,Proizvodnja,SHELF
B24,Magacin,SHELF
B25,Proizvodnja,SHELF
B25,Magacin,SHELF
B25,Magacin,SHELF
B26,Proizvodnja,SHELF
B26,Magacin,SHELF
B26,Magacin,SHELF
B27,Proizvodnja,SHELF
B27,Magacin,SHELF
B27,Magacin,SHELF
B28,Proizvodnja,SHELF
B28,Magacin,SHELF
B28,Magacin,SHELF
B29,Magacin,SHELF
B29,Magacin,SHELF
B29,Proizvodnja,SHELF
B3,Proizvodnja,SHELF
B3,Magacin,SHELF
B3,Magacin,SHELF
B3,Proizvodnja,SHELF
B30,Proizvodnja,SHELF
B30,Magacin,SHELF
B30,Magacin,SHELF
B31,Magacin,SHELF
B31,Magacin,SHELF
B32,Magacin,SHELF
B32,Magacin,SHELF
B33,Magacin,SHELF
B33,Magacin,SHELF
B34,Magacin,SHELF
B34,Magacin,SHELF
B35,Magacin,SHELF
B35,Magacin,SHELF
B36,Magacin,SHELF
B36,Magacin,SHELF
B37,Magacin,SHELF
B37,Magacin,SHELF
B38,Magacin,SHELF
B38,Magacin,SHELF
B39,Magacin,SHELF
B39,Magacin,SHELF
B4,Magacin,SHELF
B4,Proizvodnja,SHELF
B4,Magacin,SHELF
B4,Proizvodnja,SHELF
B40,Magacin,SHELF
B40,Magacin,SHELF
B41,Magacin,SHELF
B41,Magacin,SHELF
B42,Magacin,SHELF
B42,Magacin,SHELF
B43,Magacin,SHELF
B43,Magacin,SHELF
B44,Magacin,SHELF
B44,Magacin,SHELF
B45,Magacin,SHELF
B45,Magacin,SHELF
B46,Magacin,SHELF
B46,Magacin,SHELF
B47,Magacin,SHELF
B47,Magacin,SHELF
B48,Magacin,SHELF
B48,Magacin,SHELF
B49,Magacin,SHELF
B49,Magacin,SHELF
B5,Magacin,SHELF
B5,Proizvodnja,SHELF
B5,Proizvodnja,SHELF
B5,Magacin,SHELF
B50,Magacin,SHELF
B50,Magacin,SHELF
B51,Magacin,SHELF
B52,Magacin,SHELF
B53,Magacin,SHELF
B54,Magacin,SHELF
B55,Magacin,SHELF
B56,Magacin,SHELF
B57,Magacin,SHELF
B58,Magacin,SHELF
B59,Magacin,SHELF
B6,Proizvodnja,SHELF
B6,Magacin,SHELF
B6,Magacin,SHELF
B60,Magacin,SHELF
B61,Magacin,SHELF
B62,Magacin,SHELF
